date,case_cumulative,new_case,recover,death
2020-03-02,2,2,,
2020-03-03,2,,,
2020-03-04,2,,,
2020-03-05,2,,,
2020-03-06,4,2,,
2020-03-07,4,,,
2020-03-08,6,2,,
2020-03-09,19,13,,
2020-03-10,27,8,,
2020-03-11,34,7,2,2
2020-03-12,34,,1,2
2020-03-13,69,35,2,
2020-03-14,96,27,3,1
2020-03-15,117,21,,
2020-03-16,134,17,,
2020-03-17,172,38,1,2
2020-03-18,227,55,2,12
2020-03-19,309,82,4,6
2020-03-20,369,60,1,7
2020-03-21,450,81,4,6
2020-03-22,514,64,9,10
2020-03-23,579,65,1,1
2020-03-24,685,106,,6
2020-03-25,790,105,1,3
2020-03-26,893,103,4,20
2020-03-27,1046,153,11,9
2020-03-28,1155,109,13,15
2020-03-29,1285,130,5,12
2020-03-30,1414,129,11,8
2020-03-31,1528,114,6,14
2020-04-01,1677,149,22,21
2020-04-02,1790,113,9,13
2020-04-03,1986,196,22,11
2020-04-04,2092,106,16,10
2020-04-05,2273,181,14,7
2020-04-06,2491,218,28,11
2020-04-07,2738,247,12,12
2020-04-08,2956,218,18,19
2020-04-09,3293,337,30,40
2020-04-10,3512,219,30,26
2020-04-11,3842,330,4,21
2020-04-12,4241,399,73,46
2020-04-13,4557,316,21,26
2020-04-14,4839,282,46,60
2020-04-15,5136,297,20,10
2020-04-16,5516,380,102,27
2020-04-17,5923,407,59,24
2020-04-18,6248,325,24,15
2020-04-19,6575,327,55,47
2020-04-20,6760,185,61,8
2020-04-21,7135,375,95,26
2020-04-22,7418,283,71,20
2020-04-23,7775,357,47,11
2020-04-24,8211,436,42,42
2020-04-25,8607,396,40,31
2020-04-26,8882,275,65,23
2020-04-27,9096,214,44,22
2020-04-28,9511,415,103,8
2020-04-29,9771,260,137,11
2020-04-30,10118,347,131,8
2020-05-01,10551,433,69,8
2020-05-02,10843,292,74,31
2020-05-03,11192,349,211,14
2020-05-04,11587,395,78,19
2020-05-05,12071,484,243,8
2020-05-06,12438,367,120,23
2020-05-07,12776,338,64,35
2020-05-08,13112,336,113,13
2020-05-09,13645,533,113,16
2020-05-10,14032,387,91,14
2020-05-11,14265,233,183,18
2020-05-12,14749,484,182,16
2020-05-13,15438,689,224,21
2020-05-14,16006,568,231,15
2020-05-15,16496,490,285,33
2020-05-16,17025,529,108,13
2020-05-17,17514,489,218,59
2020-05-18,18010,496,195,43
2020-05-19,18496,486,143,30
2020-05-20,19189,693,108,21
2020-05-21,20162,973,263,36
2020-05-22,20796,634,219,48
2020-05-23,21745,949,192,25
2020-05-24,22271,526,153,21
