province,island,n_pop
Aceh,Sumatera,5371500
Sumatera Utara,Sumatera,14562500
Sumatera Barat,Sumatera,5441200
Riau,Sumatera,6971700
Jambi,Sumatera,3624600
Sumatera Selatan,Sumatera,8470700
Bengkulu,Sumatera,1991800
Lampung,Sumatera,8447700
Bangka Belitung,Sumatera,1488800
Kepulauan Riau,Sumatera,2189700
DKI Jakarta,Jawa,10557800
Jawa Barat,Jawa,49316700
Jawa Tengah,Jawa,34718200
DI Yogyakarta,Jawa,3842900
Jawa Timur,Jawa,39698600
Banten,Jawa,12927300
Bali,Kepulauan Nusa Tenggara,4336900
NTB,Kepulauan Nusa Tenggara,5070400
NTT,Kepulauan Nusa Tenggara,5456200
Kalimantan Barat,Kalimantan,5069100
Kalimantan Tengah,Kalimantan,2714900
Kalimantan Selatan,Kalimantan,4244100
Kalimantan Timur,Kalimantan,3721400
Kalimantan Utara,Kalimantan,742200
Sulawesi Utara,Sulawesi,2507000
Sulawesi Tengah,Sulawesi,3054000
Sulawesi Selatan,Sulawesi,8851200
Sulawesi Tenggara,Sulawesi,2704700
Gorontalo,Sulawesi,1202600
Sulawesi Barat,Sulawesi,1380300
Maluku,Maluku,1802900
Maluku Utara,Maluku,1255800
Papua Barat,Papua,959600
Papua,Papua,3379300
